"","X","Date.Rptd","DR.NO","DATE.OCC","TIME.OCC","AREA","AREA.NAME","RD","Crm.Cd","Crm.Cd.Desc","Status","Status.Desc","LOCATION","Cross.Street","Location.1","latlong","lat","long","DateGone","MonthGone","Shade","lat.1","long.1","Shade1"
"67",67,"02/17/2014",140107179,"02/16/2014",2000,1,"Central",162,480,"BIKE - STOLEN","IC","Invest Cont","  700      W  7TH                          ST","","(34.048, -118.2577)","34.048, -118.2577",34.048,-118.2577,2014-02-16,"February","#FB8072",34.048,-118.2577,"#33A02C"
"68",68,"02/17/2014",140107180,"02/16/2014",2250,1,"Central",128,480,"BIKE - STOLEN","IC","Invest Cont","  100      S  ONIZUKA                      ST","","(33.7205, -118.3119)","33.7205, -118.3119",33.7205,-118.3119,2014-02-16,"February","#FB8072",33.7205,-118.3119,"#33A02C"
"69",69,"08/10/2014",140513191,"08/10/2014",1030,5,"Harbor",526,480,"BIKE - STOLEN","IC","Invest Cont","              ANAHEIM","   AVALON","(33.78, -118.2624)","33.78, -118.2624",33.78,-118.2624,2014-08-10,"August","#FFFFB3",33.78,-118.2624,"#1F78B4"
"70",70,"02/16/2014",142006109,"02/16/2014",800,20,"Olympic",2029,480,"BIKE - STOLEN","IC","Invest Cont","  400      S  WESTMORELAND                 AV","","(34.0668, -118.2884)","34.0668, -118.2884",34.0668,-118.2884,2014-02-16,"February","#FB8072",34.0668,-118.2884,"#33A02C"
"71",71,"02/16/2014",141106084,"02/15/2014",1600,11,"Northeast",1162,480,"BIKE - STOLEN","IC","Invest Cont","              SUNSET","   VERMONT","(34.0982, -118.2918)","34.0982, -118.2918",34.0982,-118.2918,2014-02-15,"February","#FB8072",34.0982,-118.2918,"#33A02C"
"72",72,"08/10/2014",140513223,"08/10/2014",1200,5,"Harbor",528,480,"BIKE - STOLEN","IC","Invest Cont","  900      E  DENNI                        ST","","(33.7852, -118.252)","33.7852, -118.252",33.7852,-118.252,2014-08-10,"August","#FFFFB3",33.7852,-118.252,"#1F78B4"
"73",73,"08/10/2014",141114821,"08/10/2014",1640,11,"Northeast",1162,480,"BIKE - STOLEN","IC","Invest Cont"," 4500      W  SUNSET                       BL","","(34.0982, -118.2874)","34.0982, -118.2874",34.0982,-118.2874,2014-08-10,"August","#FFFFB3",34.0982,-118.2874,"#1F78B4"
"74",74,"08/17/2014",141115150,"08/10/2014",1400,11,"Northeast",1142,480,"BIKE - STOLEN","IC","Invest Cont"," 2000         DRACENA                      DR","","(34.1082, -118.2902)","34.1082, -118.2902",34.1082,-118.2902,2014-08-10,"August","#FFFFB3",34.1082,-118.2902,"#1F78B4"
"75",75,"08/10/2014",141713567,"08/10/2014",200,17,"Devonshire",1781,480,"BIKE - STOLEN","IC","Invest Cont","20900         PARTHENIA                    ST","","(34.2282, -118.5885)","34.2282, -118.5885",34.2282,-118.5885,2014-08-10,"August","#FFFFB3",34.2282,-118.5885,"#1F78B4"
"76",76,"02/18/2014",140107311,"02/14/2014",1200,1,"Central",192,480,"BIKE - STOLEN","IC","Invest Cont"," 1600      S  HOPE                         ST","","(34.0363, -118.2677)","34.0363, -118.2677",34.0363,-118.2677,2014-02-14,"February","#FB8072",34.0363,-118.2677,"#33A02C"
"77",77,"08/25/2014",142015338,"08/10/2014",1200,20,"Olympic",2026,480,"BIKE - STOLEN","IC","Invest Cont","  300      S  CATALINA                     ST","","(34.0691, -118.2954)","34.0691, -118.2954",34.0691,-118.2954,2014-08-10,"August","#FFFFB3",34.0691,-118.2954,"#1F78B4"
"78",78,"08/09/2014",140118640,"08/09/2014",830,1,"Central",152,480,"BIKE - STOLEN","IC","Invest Cont","              7TH","   FLOWER","(33.9996, -118.469)","33.9996, -118.469",33.9996,-118.469,2014-08-09,"August","#FFFFB3",33.9996,-118.469,"#1F78B4"
"79",79,"05/02/2014",141510320,"02/14/2014",1600,15,"N Hollywood",1585,480,"BIKE - STOLEN","IC","Invest Cont"," 4000         TUJUNGA                      AV","","(34.1399, -118.3789)","34.1399, -118.3789",34.1399,-118.3789,2014-02-14,"February","#FB8072",34.1399,-118.3789,"#33A02C"
"80",80,"08/09/2014",141713516,"08/09/2014",1040,17,"Devonshire",1763,480,"BIKE - STOLEN","IC","Invest Cont","19600         VINTAGE                      ST","","(34.2519, -118.561)","34.2519, -118.561",34.2519,-118.561,2014-08-09,"August","#FFFFB3",34.2519,-118.561,"#1F78B4"
"81",81,"08/08/2014",140118587,"08/08/2014",1615,1,"Central",162,480,"BIKE - STOLEN","IC","Invest Cont","  700      W  7TH                          ST","","(34.048, -118.2577)","34.048, -118.2577",34.048,-118.2577,2014-08-08,"August","#FFFFB3",34.048,-118.2577,"#1F78B4"
"82",82,"08/20/2014",140413142,"08/08/2014",800,4,"Hollenbeck",406,480,"BIKE - STOLEN","IC","Invest Cont"," 4200         VIA ARBOLADA","","(34.096, -118.185)","34.096, -118.185",34.096,-118.185,2014-08-08,"August","#FFFFB3",34.096,-118.185,"#1F78B4"
"83",83,"08/08/2014",141515321,"08/08/2014",1730,15,"N Hollywood",1535,480,"BIKE - STOLEN","IC","Invest Cont"," 5800         LANKERSHIM                   BL","","(34.1758, -118.3812)","34.1758, -118.3812",34.1758,-118.3812,2014-08-08,"August","#FFFFB3",34.1758,-118.3812,"#1F78B4"
